experiment,num_agents,forbidden_actions,norm_mode,social_exposure,task_variant,visibility_mode,norm_prompt_variant,num_episodes,mean_entropy,std_entropy,min_entropy,max_entropy,mean_forbidden_rate,mean_transition_entropy,mean_action_persistence,mean_policy_divergence,episode_diversity,parser_failures
multi_norm_phi4_qwen35_ds_ollama,3,defect,soft,False,social_game,full,soft_default,100,0.007527587562486812,0.0765603042604893,-0.0,0.9182958340544896,0.0,0.008716554512960306,0.9995402298850575,0.03968024485249804,0.018395953147980725,0
multi_norm_rotated,3,defect,soft,False,social_game,full,soft_default,100,0.030319219182307885,0.15092631020629502,-0.0,0.9182958340544896,0.0,0.05600334843446407,0.9811494252873564,0.010368904175967647,0.006903485274220523,0
multi_norm_strong,3,defect,strong,False,social_game,full,soft_default,100,0.6160158759342033,0.8869606734677966,-0.0,2.167530280029051,0.040888888888888884,1.031175756112157,0.7978160919540229,0.4002368266998982,0.011055512883251215,1
multi_norm_temp07,3,defect,soft,False,social_game,full,soft_default,100,0.014937935286080364,0.10645574464640019,-0.0,1.0,0.0,0.01794112567443752,0.9993103448275863,0.6769996772095602,0.012642235857948656,0
phi_tx_all_defect,1,none,soft,True,social_game,full,soft_default,100,1.5518833895026574,0.15892464871853834,1.1092271387984602,1.821420801020302,0.0,2.669825168985897,0.18448275862068964,0.0,0.015499187810377553,0
phi_tx_diverse,1,none,soft,True,social_game,full,soft_default,100,0.7319654352797675,0.229746574088777,-0.0,1.1786137171821593,0.0,1.376753474339935,0.7296551724137932,0.0,0.02072741440078748,0
phi_tx_mixed,1,none,soft,True,social_game,full,soft_default,100,0.006325269009555964,0.03596700210005073,-0.0,0.21084230031853213,0.0,0.012930503069261318,0.9979310344827585,0.0,0.0009080847903819269,0
single_norm,1,defect,soft,False,social_game,full,soft_default,100,0.046226694559365594,0.1894212511471012,-0.0,1.1092271387984602,0.9393333333333334,0.05329327193956078,0.9968965517241379,0.0,0.07773831064046209,1
single_norm_forbidden_abstain,1,abstain,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_forbidden_defend,1,defend,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_forbidden_deontic,1,defect,soft,False,social_game,full,forbidden_deontic,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_forbidden_hard,1,defect,soft,False,social_game,full,forbidden_hard,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_forbidden_penalty_text,1,defect,soft,False,social_game,full,forbidden_penalty_text,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_matched,1,defect,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_positive_reframe,1,defect,soft,False,social_game,full,positive_reframe,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
